item_ja	item_en	hscode
卓球ラケット	Table Tennis Racket	9506400000
だっこひも	Baby Carriers	4202990090
タバコ	Cigarette	2402209000
足袋	Japanese Socks	6115950000
タピオカ	Tapioca	1903000090
タブレット	Tablet Computer	8471410000
タペストリー	Tapestry	6304910000
タレ	Sauce	2103909089
団子	Dumpling	1901909990
タンブラー	Tumbler	7323930090
ダンベル	Dumbbells	9506919000
チーク	Blusher	3304910000
知恵の輪	Puzzle Ring	9503006190
地球儀	World Globe	4905900010
地図	Map	4905900090
地図帳	Map Book	4905200000
茶（乾物）	Tea	0902400000
チャイルドシート	Infant Car Seat	9401200000
茶器（陶器製）	Tea Utensil (pottery)	6912002191
茶器（磁器製）	Tea Utensil (porcelain)	6911100090
茶こし	Tea Strainer	8215991000
茶道具	Tea Set	4419190000
中古の	Used	-
提灯	Paper Lantern	9505900000
調味料	Seasoning	2103909089
チョコレート	Chocolate	1806901900
チョコレート菓子	Chocolate snack	1806208019
チョコレートパイ	Chocolate pie	1806208019
チラシ	Leaflet	4911109000
チリオイル	Chili Oil	1510900000
鎮痛剤	Painkiller	3004900000
通信教育用テキスト	Text for Correspondence Study	4901990000
杖	Cane	6602000090
佃煮	Simmered 	-
佃煮（素材が海苔、海藻類の場合）	Food Simmered in Soy Sauce (seaweed)	1212210000
佃煮（素材がエビのもの）	Food Simmered In Soy Sauce (shrimp)	1605290099
佃煮（素材がその他甲殻類のもの）	Food Simmered In Soy Sauce (other crustaceans)	1605400070
つけまつげ	False Eyelashe	6704900000
漬物	Pickles	0711908080
ツナ缶	Canned Tuna	1604144890
積み木	Block Toy	9503009910
爪切り	Nail Clipper	8214900000
つゆ	Soup	2104200090
釣糸	Fishing Line	9507900000
釣竿	Fishing Rod	9507100000
釣り針	Fish Hook	9507201000
テープ	Tape	5906100000
テーブルクロス	Tablecloth	6302599090
ティーカップ	Tea Cup	6912002191
Tシャツ	T-Shirt	6109100010
DVD	DVD (Digital Versatile Disks)	8523491000
ティッシュ	Tissue	4818201000
デジタルカメラ	Digital Camera	8525890000
デスクトップパソコン	Desktop Computer	8471410000
手帳	Notebook	4820103000
鉄製の	Iron	-
テニスボール	Tennis Ball	9506610000
テニスラケット	Tennis Racket	9506510000
手ぬぐい	Towel	6302210029
手袋（革）	Gloves (leather)	4203210000
手袋（羊毛）	Gloves (wool)	6116910000
手袋（綿）	Gloves (cotton)	6116920000
手袋（合成繊維）	Gloves (synthetic fibers)	6116930000
手袋（その他繊維素材）	Gloves (other textile materials)	6116990000
電気ケトル	Electric Kettle	8516101100
電気コード	Electric Cord	8544499500
電源ケーブル	Power Cable	8544499500
電子辞書	Electronic Dictionary	8543701000
【引受不可】電子タバコ	【Not acceptable】Electronic Cigarette	8543400000
電子タバコ（カートリッジ・レフィル）	Cartridge and Refill for Electronic Cigarette	2404120010
電子レンジ	Microwave Oven	8516500090
電卓	Electronic Calculator	8470100000
デンタルフロス	Dental Floss	3306200000
電池なし	Without Battery	-
テント	Tent	6306220000
電動歯ブラシ	Electric Toothbrush	9603210000
トースター	Toaster	8516720000
砥石（手研ぎ用）	Grindstone	6804300000
トイレットペーパー	Toilet Paper	4818109000
唐辛子	Red Pepper	0904219080
陶器	Pottery	6912002111
道着（男性用 綿）	Dogi (for men,cotton)	6211329000
道着（男性用 人造繊維）	Dogi (for men,man-made fibers)	6211339000
道着（男性用 その他の繊維素材）	Dogi (for men,other textile materials)	6211390090
道着（女性用 綿）	Dogi (for women,cotton)	6211429000
道着（女性用 人造繊維）	Dogi (for women,man-made fibers)	6211439000
道着（女性用 その他の繊維素材）	Dogi (for women,other textile materials)	6211490000
陶磁器	Ceramic Ware	6912002111
トウシューズ（24cm未満）	Pointe Shoes (less than 24 cm)	6403999110
トウシューズ（24cm以上）	Pointe Shoes (more than 24 cm)	6403999310
ドッグフード	Dog Food	2309109000
トップコート	Top Coat	3304300000
ドライイースト	Dry Yeast	2102103100
ドライフルーツ	Dried Fruit	0813409580
ドライブレコーダー	Drive Recorder	8519890000
ドライヤー	Hair Dryer	8516310000
どら焼き	Bean-Jam Pancake	1901909990
トリートメント	Hair Treatment Products	3305900000
トレー	Tray	3924100090
トレーディングカード	Trading Card	9504400000
トレーナー（男性用 綿）	Sweatshirt (for men,cotton)	6110209100
トレーナー（男性用 人造繊維）	Sweatshirt (for men,man-made fibers)	6110309100
トレーナー（男性用 その他繊維素材）	Sweatshirt (for men,other textile materials)	6110909090
トレーナー（女性用 綿）	Sweatshirt (for women,cotton)	6110209900
トレーナー（女性用 人造繊維）	Sweatshirt (for women,man-made fibers)	6110309900
トレーナー（女性用 その他繊維素材）	Sweatshirt (for women,other textile materials)	6110909090
ドレス（綿）	Dress (cotton)	6104420000
ドレス（合成繊維）	Dress (synthetic fibers)	6104430000
ドレス（その他繊維素材）	Dress (other textile materials)	6104490000
ドレッシング	Dressing	2103909089
ドローン	Drone	9503009990
とろろ昆布	Kelp with Grated Yam	1212210000
トング	Kitchen Tong	8215999000
ナイフ	Knife	8210000000
長靴	Boots	6401921000
梨	Pear	0808309090
ナッツ	Nuts	0813509980
ナプキン（生理用品）	Sanitary Towel	9619007100
なべ	Pot	6911100090
鍋（ステンレス）	Pots (stainless steel)	7323930090
鍋（アルミ）	Pots (aluminium)	7615108090
鍋（鋳鉄ほうろう）	Pots (enamel)	7323920000
軟こう	Ointment	3004900000
ニット帽	Beanie	6505009090
にぼし	Dried Boiled Fish	0305598590
日本酒	Japanese Rice Wine	2206005900
日本人形	Japanese Doll	9503002110
乳液	Milky Lotion	3304990000
乳児用の	for Babies	-
入浴剤	Bath Powder	3307300000
人形	Doll	9503002190
ぬいぐるみ	Stuffed Doll	9503004100
縫い針	Sewing Needle	7319901000
布製の	Fabric	-
塗り絵	Coloring Book	4903000000
ネイルオイル	Nail Oil	3304300000
ネイルチップ	Nail Tips	3926909790
ネイルファイル（爪やすり）	Nail File	8214200000
ネイルブラシ	Nail Brush	9603309000
ネクタイ（絹）	Tie (silk)	6215100090
ネクタイ（人造繊維）	Tie (man-made fibers)	6215200090
ネクタイ（その他繊維素材）	Tie (other textile materials)	6215900090
ネックレス	Necklace	7113190000
寝袋	Sleeping Bag	9404300000
燃料なし	No Fuel	-
ノート	Notebook	4820103000
ノートパソコン	Laptop Computer	8471300000
のど飴	Throat Lozenge	1704905500
海苔	Laver	1212210000
パーカー（男性用 羊毛）	Hoodie (for men, wool)	6110113000
パーカー（男性用 綿）	Hoodie (for men,cotton)	6110209100
パーカー（男性用 人造繊維）	Hoodie (for men,man-made fibers)	6110309100
パーカー（男性用 その他繊維素材）	Hoodie (for men,other textile materials)	6110909090
パーカー（女性用 羊毛）	Hoodie (for women,wool)	6110119000
パーカー（女性用 綿）	Hoodie (for women,cotton)	6110209900
パーカー（女性用 人造繊維）	Hoodie (for women,man-made fibers)	6110309900
パーカー（女性用 その他繊維素材）	Hoodie (for women,other textile materials)	6110909090
ハーモニカ	Harmonica	9205903000
灰皿（ステンレス製）	Ashtray (stainless steel)	7323930090
灰皿（ガラス製）	Ashtray (glass)	7013990090
灰皿（陶磁器）	Ashtray (ceramic)	6911900000
ハイライター（液体）	Face Highlighter (Liquid)	3304990000
ハイライター（パウダー）	Face Highlighter (Powder)	3304910000
バウンサー	Baby Bouncers	9401490000
羽織（男性用 綿）	Haori Coat (for men,cotton)	6101201000
羽織（男性用 人造繊維）	Haori Coat (for men,man-made fibers)	6101301000
羽織（男性用 その他繊維素材）	Haori Coat (for men,other textile materials)	6101902090
羽織（女性用 綿）	Haori Coat (for women,cotton)	6102201000
羽織（女性用 人造繊維）	Haori Coat (for women,man-made fibers)	6102301000
羽織（女性用 その他繊維素材）	Haori Coat (for women,other textile materials)	6102901000
袴（男性用 綿）	Hakama Pants (for men,cotton)	6203423500
袴（男性用 合成繊維）	Hakama Pants (for men,synthetic fibers)	6203431900
袴（男性用 その他繊維素材）	Hakama Pants (for men,other textile materials)	6203499000
袴（女性用 綿）	Hakama Pants (for women,cotton)	6204623990
袴（女性用 合成繊維）	Hakama Pants (for women,synthetic fibers)	6204631890
袴（女性用 その他繊維素材）	Hakama Pants (for women,other textile materials)	6204699090
薄力粉	Weak Flour	1107109100
箱（プラスチック製）	Box (plastic)	3923109090
箱（木製）	Box (wood)	4415101000
箱（紙製）	Box (paper)	4819200000
羽子板	Small Racket	9503009910
はさみ	Scissors	8213000000
はし	Chopsticks	4419120000
箸置き（プラスチック製）	Cutlery Rest (plastic)	3924100090
箸置き（陶器製）	Cutlery Rest (pottery)	6912002191
パジャマ（男性用 綿）	パジャマ（男性用 綿）,Pajama (for men	6207210000
パジャマ（男性用 人造繊維）	パジャマ（男性用 人造繊維）,Pajama (for men	6207220000
パジャマ（男性用 その他繊維素材）	パジャマ（男性用 その他繊維素材）,Pajama (for men	6207290000
パジャマ（女性用 綿）	パジャマ（女性用 綿）,Pajama (for women	6208210000
パジャマ（女性用 人造繊維）	パジャマ（女性用 人造繊維）,Pajama (for women	6208220000
パジャマ（女性用 その他繊維素材）	パジャマ（女性用 その他繊維素材）,Pajama (for women	6208290000
パスケース	Pass Case	4202390090
バスケットシューズ	Basketball Shoes	6404110000
バスソルト	Bath Salt	3307300000
パスタ	Pasta	1902199090
バスボム	Bath Bomb	3307300000
バスマット	Bath Mat	5703299900
パズル（おもちゃ）	Puzzle Toy	9503006190
パソコン	Personal Computer	8470290000
ハチミツ	Honey	0409000000
パック	Face Pack	3304990000
バッグ（革製）	Bag (leather)	4202210090
バッグ（布、繊維素材）	Bag (fabric,textile material)	4202229090
バッグ（プラスチック製）	Bag (plastic)	4202221000
バッグ（その他素材）	Bag (other material)	4202290000
パックご飯	Coocked Rice Pack	1904103000
バックパック	Backpack	4202911090
バッジ	Badge	9503009990
バット	Bat	9506999000
法被（男性用）	Happi Coat (for men)	6201301099
法被（女性用）	Happi Coat (for women)	6202301099
歯ブラシ	Toothbrush	9603210000
歯磨き粉	Toothpaste	3306100000
パレオ	Pareo Swimsuit	6211120000
バレッタ	Hairpin	9615110000
ハンガー	Hanger	3924900090
ハンカチ（綿）	Handkerchief (cotton)	6213200090
ハンカチ（その他繊維素材）	Handkerchief (other textile materials)	6213900090
絆創膏	Adhesive Bandage	3005100000
パンツ（下着 男性用 綿）	Underpants (for men,cotton)	6207110000
パンツ（下着 男性用 人造繊維）	Underpants (for men,man-made fibers)	6107120000
パンツ（下着 男性用 その他繊維素材）	Underpants (for men,other textile materials)	6207190000
パンツ（下着 女性用 綿）	Underpants (for women,cotton)	6108210000
パンツ（下着 女性用 人造繊維）	Underpants (for women,man-made fibers)	6108220000
パンツ（下着 女性用 その他繊維素材）	Underpants (for women,other textile materials)	6108290000
ハンディファン	Handy Fan	8414510090
はんてん（綿入れ 男性用）	Short Coat (for men)	6201301099
はんてん（綿入れ 女性用）	Short Coat (for women)	6202301099
ハンドクリーム	Hand Cream	3304990000
ハンドソープ	Hand Soap	3401300000
ハンドバッグ（革製）	Handbag (leather)	4202210090
ハンドバッグ（布、繊維素材）	Handbag (fabric,textile material)	4202229090
ハンドバッグ（プラスチック製）	Handbag (plastic)	4202221000
ハンドバッグ（その他素材）	Handbag (other material)	4202290000
パンプス（24cm未満）	Pump Shoes (less than 24 cm)	6403599100
パンプス（24cm以上）	Pump Shoes (more than 24 cm)	6403599900
パンフレット	Pamphlet	4901990000
ビーズ（ガラス製）	Beads (glass)	7018101990
ビーニー	Beanie	6505009090
BBクリーム	BB Cream	3304990000
ピーラー	Peeler	8210000000
ビール	Beer	2203000900
ビールサーバー	Beer Dispenser	8418690099
ピアス	Earring	7114200000
美顔器	Facial Machine	8543709099
ビキニ	Bikini	6211120000
髭剃り（かみそり）	Razor	8212109000
髭剃り（電気シェーバー）	Shaver	8510100000
ひじき	Hijiki Seaweed	1212210000
ビスケット	Biscuit	1905904500
ピスタチオ	Pistachio	2008191320
ビタミン剤	Vitamin Tablet	2106902090
非伝染性の物質	Not Infectious Substance	-
雛人形	Japanese doll	9503002110
ビニール製の	Vinyl	-
避妊具	Contraceptive Device	4014100000
ビネガー	Vinegar	2209009100
干物（魚介）	Dried Fish	0305598590
【原則引受不可】日焼け止め	【Not acceptable in general】Sunblock Lotion	3304990000
美容液	Serums	3304990000
ピル（避妊薬）	Pills (contraceptive pills)	3006600000
ピンセット	Tweezers	8203200000
ピンバッジ	Pin Badge	8306290000
麩	Wheat Gluten Cake	1109000000
ブーツ（男性用 24cm未満）	Boots (for men,less than 24 cm)	6403911190
ブーツ（男性用 24cm以上）	Boots (for men,more than 24 cm)	6403911690
ブーツ（女性用 24cm未満）	Boots (for women,less than 24 cm)	6403911190
ブーツ（女性用 24cm以上）	Boots (for women,more than 24 cm)	6403911890
フードコンテナ	Food container	3924100090
ファンデーション（液体）	Foundation Makeup (Liquid)	3304990000
ファンデーション（パウダー）	Foundation Makeup (Powder)	3304910000
フィギュア	Figure	9503002190
フィルム	Film	3701200000
フェイスクリーム	Face Cream	3304990000
フェイスクレンザー	Face Cleanser	3401300000
フェイスコットン	Face Cotton	4818201000
フェイスミルク	Face Milk	3304990000
フォーク	Fork	8215991000
フォームローラー	Foam Rollers	9506919000
フォルダ	Folder	4820300000
ふきん	Dish Cloth	6307109090
ふせん	Label	4820103000
ブックレット	Booklet	4901990000
筆	Writing Brush	9603301000
筆箱（革）	Pencil case (leather)	4202310090
筆箱（繊維素材）	Pencil case (textile material)	4202329090
ぶどう	Grape	0806109000
布団	Bedding	9404401000
布団カバー	Bedspread	6304191090
不燃性の	Nonflammable	-
フライ返し	Spatula	8215999000
フライパン	Pan	7323990090
ブラウス（綿）	Blouse (cotton)	6106100000
ブラウス（人造繊維）	Blouse (man-made fibers)	6106200000
ブラウス（羊毛）	Blouse (wool)	6106901000
ブラウス（絹）	Blouse (silk)	6106903000
ブラウス（その他繊維素材）	Blouse (other textile materials)	6106909000
ブラシ	Brush	9603909100
ブラジャー	Brassiere	6212109000
プラスチックケース	Plastic Case	3926909790
プラスチック製の	Plastic	-
プラモデル	Plastic Model	9503003500
ブランケット	Blanket	6301209090
ふりかけ	Rice Seasoning	2106902090
プリザーブドフラワー	Preserved Flower	0603900000
振袖（絹）	Long Sleeved Kimono (silk)	6204420090
振袖（合成繊維）	Long Sleeved Kimono (synthetic fibers)	6204430000
Blu-rayディスク	Blu-Ray Disc	8523492000
プルーン	Prunes	0813200000
プレート（食器）	Plate	7323990090
ブレスレット	Bracelet	7117190090
ブローチ	Broach	7113190000
ブロック（おもちゃ）	Plastic Brick Toy	9503003500
フロッピーディスク	Floppy Disk	8471708000
プロテイン	Protein Powder	2106108070
分度器	Protractor	9017201000
ベースコート	Base Coat	3304300000
ペーパータオル	Paper Towel	4818209900
ヘアアイロン	Hair Iron	8516320000
【原則引受不可】ヘアカラー	【Not acceptable in general】Hair Color	3305900000
ヘアクリップ	Barrette	9615900000
ヘアゴム	hair tie	9615900000
【原則引受不可】ヘアトニック	【Not acceptable in general】Hair Tonic	3305900000
ヘアバンド	Hair Band	9615190000
ヘアピン	Hairpin	9615190000
ヘアブラシ	Hair Brush	9603293000
ペグ（楽器の部品）	Peg	9209920000
ベスト（男性用 羊毛）	Vest (for men,wool)	6110113000
ベスト（男性用 カシミヤ毛）	Vest (for men,cashmere)	6110121090
ベスト（男性用 綿）	Vest (for men,cotton)	6110209100
ベスト（男性用 人造繊維）	Vest (for men,man-made fibers)	6110309100
ベスト（男性用 その他繊維素材）	Vest (for men,other textile materials)	6110909090
ベスト（女性用 羊毛）	Vest (for women,wool)	6110119000
ベスト（女性用 カシミヤ毛）	Vest (for women,cashmere)	6110129090
ベスト（女性用 綿）	Vest (for women,cotton)	6110209900
ベスト（女性用 人造繊維）	Vest (for women,man-made fibers)	6110309900
ベスト（女性用 その他繊維素材）	Vest (for women,other textile materials)	6110909090
ベッドカバー	Bedspread	9404409000
ペットフード	Pet Food	2309101100
ヘッドフォン	Headphone	8518300090
ペットボトル	Plastic bottle	3923301000
ヘッドホン	Headphone	8518300090
ペニシリン	Penicillin	3004100000
ベビーウェア（綿）	Babywear (cotton)	6209200090
ベビーウェア（合成繊維）	Babywear (synthetic fibers)	6209300090
ベビーウェア（羊毛）	Babywear (wool)	6209901090
ベビーウェア（その他繊維素材）	Babywear (other textile materials)	6209909090
ベビーカー	Baby Carriage	8715001000
ベビーフード	Baby Food	1901100000
ベルト	Belt	4203300090
ヘルメット	Helmet	6506101000
ペン	Pen	9608200000
変圧器	Power Transformer	8504409090
ペンダント	Pendant	7113190000
弁当箱	Lunch Box	3924100090
便秘薬	Laxative	3004900000
ペンライト	Penlight	9405494000
ポーチ（革製）	Pouch Bag (leather)	4202310090
ポーチ（布、繊維素材）	Pouch Bag (fabric,textile material)	4202329090
ポーチ（プラスチック製）	Pouch Bag (plastic)	4202321000
ポーチ（その他素材）	Pouch Bag (other material)	4202390090
ボードゲーム	Board Game	9504908000
ボール	Ball	9506699000
ボールペン	Ball-Point Pen	9608101000
ホイール（自動車）	Wheel (for Cars)	8708705050
ホイール（自転車）	Wheel (for Bicycles)	8714999019
ホイッスル	Whistle	9208900000
望遠鏡	Telescope	9005800000
ほうき	Broom	9603100000
芳香剤	Air Freshener	3307490090
帽子	Hat	6505009090
ほうじ茶	Roasted Green Tea	0902400000
包帯	Bandage	3005905000
包丁	Kitchen Knife	8211910000
ボウル（プラスチック製）	Bowl (plastic)	3924100090
ボウル（陶器製）	Bowl (pottery)	6911100090
ボウル（ステンレス製）	Bowl (stainless steel)	7323990090
ボウル（ガラス製）	Bowl (glass)	7013419000
干し〇〇	Dried 〇〇	-
干し椎茸	Dried Mushroom	0712340031
保湿剤	Moisturizer	3304990000
ポスター	Poster	4901100000
ポストカード	Postcard	4909000000
ボタン	Button	9606210000
ボタン電池	Coin Battery	8506503090
ホチキス	Stapler	8472908000
ホットケーキミックス	Pancake Mix	1901200000
ホットプレート	Hot Plate	8516605000
ボディクリーム	Body Cream	3304990000
ボディソープ	Body Soap	3401300000
ボディミルク	Body Milk	3304990000
ポテトチップス	Potato Chips	2005202000
ボトル（プラスチック製）	Bottle (plastic)	3924100090
ボトル（陶磁器製）	Bottle (ceramic)	6911100090
ボトル（ステンレス製）	Bottle (stainless steel)	7323990090
ボトル（真空タイプの魔法瓶）	Bottle (glass for vacuum thermos)	9617000000
ボトル（ガラス製）	Bottle (glass)	7013499900
哺乳瓶（プラスチック製）	Baby Bottle (plastic)	3924100020
哺乳瓶（陶磁器製）	Baby Bottle (ceramic)	6911100090
哺乳瓶（ステンレス製）	Baby Bottle (stainless steel)	7323990090
哺乳瓶（ガラス製）	Baby Bottle (glass)	7013499900
保冷バッグ	Cooling bag	4202990090
ポロシャツ（綿）	Polo Shirt (cotton)	6110201000
ポロシャツ（人造繊維）	Polo Shirt (man-made fibers)	6110301000
本	Book	4901990000
盆栽	Bonsai	0602909910
マイク	Microphone	8518100090
マウス	(Computer) Mouse	8471607000
マカダミアナッツ	Macadamia Nuts	0802610000
マカロン	Macaron	1905908000
マグカップ	Mug	6911100090
まくら	Pillow	9404909000
マシュマロ	Marshmallow	1704909911
マスカラ	Mascara	3304200000
マスキングテープ	Masking tape	4821109000
マスク	Mask	6307909320
マスタード	Mustard	2103309010
抹茶	Powdered Green Tea	0902200000
抹茶パウダー	Green Tea Powder	2101209899
マット	Mat	9404299000
まな板（木製）	Chopping Board (wood)	4419110000
まな板（プラスチック製）	Chopping Board (plastic)	3924100090
【原則引受不可】マニキュア	【Not acceptable in general】Nail Polish	3304300000
マフラー（絹）	Scarf (silk)	6214100090
マフラー（羊毛）	Scarf (wool)	6214200090
マフラー（合成繊維）	Scarf (synthetic fibers)	6214300090
マフラー（綿）	Scarf (cotton)	6214900019
マフラー（その他繊維素材）	Scarf (other textile materials)	6214900099
眉墨	Eyebrow Pencil	3304200000
マヨネーズ	Mayonnaise	2103909089
まんが雑誌	Cartoon Magazine	4902900000
まんが本	Comic Book	4901990000
饅頭	Sweet Bun	1901909990
万年筆	Fountain Pen	9608300000
みかん	Mandarin Orange	0805219011
ミシン	Sewing Machine	8452101900
水着（男性用）	Swimsuit (for men)	6211110000
水着（女性用）	Swimsuit (for women)	6211120000
みそ	Soybean Paste	2104100089
味噌汁（即席）	Instant Miso Soup	2104100089
みそ漬け	Miso Pickles	2106909855
蜜蝋	Beeswax	1521909900
ミニカー	Toy Car	9503009990
みりん	Sweet Sake Seasoning	2208909190
麦茶	Barley Tea	0902400000
眼鏡	Glasses	9004909000
目薬	Eye Lotion	3004900000
メダル	Medal	8306290000
メモリーカード	Memory Card	8523519000
メロン	Melon	0807110000
綿糸	Cotton Yarn	5604909050
明太子	Spicy Cod Roe	1604199200
綿棒	Cotton Swab	5601219000
モイスチャークリーム	Moisture Cream	3304990000
毛布（アクリル）	Blanket (acrylic)	6301409099
毛布（ウール）	Blanket (wool)	6301209090
木製の	Wooden	-
模型	Model Toy	9503009990
もち	Rice Cake	1901909990
最中	Japanese Wafer	1704909999
【引受不可】モバイルバッテリー	【Not acceptable】Portable Battery Charger	8507600090
喪服（男性用 合成繊維）	Mourning Clothes (for men,synthetic fibers)	6203238000
喪服（男性用 その他繊維素材）	Mourning Clothes (for men,other textile materials	6203299000
喪服（女性用 合成繊維）	Mourning Clothes (for women,synthetic fibers)	6204238000
喪服（女性用 その他繊維素材）	Mourning Clothes (for women,other textile materia	6204299090
ももひき（男性用 綿）	Long Underwear (for men,cotton)	6207110000
ももひき（男性用 人造繊維）	Long Underwear (for men,man-made fibers)	6107120000
ももひき（男性用 その他繊維素材）	Long Underwear (for men,other textile materials)	6207190000
ももひき（女性用 綿）	Long Underwear (for women,cotton)	6108210000
ももひき（女性用 人造繊維）	Long Underwear (for women,man-made fibers)	6108220000
ももひき（女性用 その他繊維素材）	Long Underwear (for women,other textile materials	6108290000
やかん	Kettle	7323990090
焼き菓子	Baked Sweets	1905908000
野菜ジュース	Vegetable Juice	2009905990
やすり	File	8203100000
USBメモリ（フラッシュドライブ）	USB Flash Drive	8523519000
浴衣（男性用 綿）	Light Kimono Costume (for men,cotton)	6211329000
浴衣（男性用 人造繊維）	Light Kimono Costume (for men,man-made fibers)	6211339000
浴衣（男性用 その他繊維素材）	Light Kimono Costume (for men,other textile mater	6211390090
浴衣（女性用 綿）	Light Kimono Costume (for women,cotton)	6211429000
浴衣（女性用 人造繊維）	Light Kimono Costume (for women,man-made fibers)	6211439000
浴衣（女性用 その他繊維素材）	Light Kimono Costume (for women,other textile mat	6211490000
柚子胡椒	Citrus Pepper	0904120000
油性マーカー	Oil-based marker	9608200000
ゆたんぽ	Hot Water Bottle	7323990090
ユニフォーム（男性用 人造繊維）	Uniform (for men,man-made fibers)	6211339000
ユニフォーム（男性用 その他繊維素材）	Uniform (for men,other textile materials)	6211390090
ユニフォーム（女性用 人造繊維）	Uniform (for women,man-made fibers)	6211439000
ユニフォーム（女性用 その他繊維素材）	Uniform (for women,other textile materials)	6211490000
ゆのみ	Tea bowl	6911100090
指輪	Ring	7113190000
柚餅子	Sweet Dumpling	1704909999
ヨーヨー	Yo-Yo Toy	9503009990
酔い止め	Motion Sickness Medicine	3004900000
ようかん	Red-Bean Jelly	1704909999
容器	Container	3923109090
ヨガマット	Yoga Mats	9506919000
らーめん	Ramen Noodle	1902301030
ラインストーン（ガラス製）	Rhinestones (glass)	7018101990
ラインストーン（プラスチック製）	Rhinestones (plastic)	3926909790
ラグ	Rug	5701109000
ラケット	Racket	9506590000
ラジオ	Radio	8527120000
ラジコンカー	Radio-Controlled Car	9503009990
ラジコン飛行機	Radio-Controlled Plane	9503009990
ラップ	Plastic Wrap	3924100090
ラバーマスコット	Rubber Mascot	9503009990
ランタン（電気式）	Lantern (electric)	9405499090
ランチボックス	Lunchbox	3924100090
ランプ（電気式）	Lamp (electric)	8513100000
リール（釣具）	Fishing Reel	9507300000
リチウム電池なし	Without Lithium Battery	-
リップクリーム	Lip Balm	3304100000
離乳食	Baby Food	1901100000
リュックサック	Backpack	4202929190
緑茶	Green Tea	0902100000
りんご	Apple	0808108090
リンス	Hair Rinse	3305900000
ルーター	Router	8517699000
ルアー（釣具）	Fishing Lure	9507900000
レーズン	Raisin	0806203090
冷蔵庫	Refrigerator	8418219190
レインコート（男性用）	Raincoat (for men)	6201401019
レインコート（女性用）	Raincoat (for women)	6202401019
レオタード（男性用 人造繊維）	Leotard (for men,man-made fibers)	6211339000
レオタード（男性用 その他繊維素材）	Leotard (for men,other textile materials)	6211390090
レオタード（女性用 人造繊維）	Leotard (for women,man-made fibers)	6211439000
レオタード（女性用 その他繊維素材）	Leotard (for women,other textile materials)	6211490000
レコード	Record	8523809000
レターセット	Letterset	4817300000
○○のレトルト食品	Retort Food/○○	-
レンズ	Lens	9002110090
ローション	Lotion	3304990000
ローファー（24cm未満）	Loafer Shoes (less than 24 cm)	6403999190
ローファー（24cm以上）	Loafer Shoes (more than 24 cm)	6403999390
ろうそく	Candle	3406000000
ワイシャツ（男性用 綿）	Shirt (for men, cotton)	6205200090
ワイシャツ（男性用 人造繊維）	Shirt (for men,man-made fibers)	6205300000
ワイシャツ（男性用 その他繊維素材）	Shirt (for men,other textile materials)	6205908090
ワイシャツ（女性用 綿）	Shirt (for women,cotton)	6206300090
ワイシャツ（女性用 人造繊維）	Shirt (for women,man-made fibers)	6206400000
ワイシャツ（女性用 その他繊維素材）	Shirt (for women,other textile materials)	6206909000
Wi-Fiルーター	Wi-Fi Router	8517699000
ワイン	Wine	2204210900
ワイングラス	Wine Glass	7013229000
和菓子	Japanese Sweet	1704909999
わかめ	Seaweed	1212210000
わさび	Japanese Horseradish	2103909089
和紙	Japanese Paper	4802100000
ワッフル	Waffle	1905329900